iter	MultiClass
0	1.066124371
1	1.033109354
2	1.004707906
3	0.9803494675
4	0.9563146216
5	0.9361694778
6	0.9172989369
7	0.8996861556
8	0.8838078476
9	0.8693086298
10	0.8552123051
11	0.84146233
12	0.8284328978
13	0.8171814735
14	0.8075438327
15	0.7968319829
16	0.7883040655
17	0.7788661699
18	0.7706743227
19	0.7631428634
20	0.7561444883
21	0.7496623269
22	0.7426241048
23	0.736375633
24	0.7307804367
25	0.7250131103
26	0.7194224552
27	0.7137192184
28	0.7100881611
29	0.706408612
30	0.7021649693
31	0.6989395911
32	0.6950608498
33	0.6913523704
34	0.6878283335
35	0.6848166981
36	0.6829469862
37	0.6804388406
38	0.6776806383
39	0.6753697802
40	0.672807425
41	0.6710220254
42	0.669684572
43	0.6671461151
44	0.6658051607
45	0.6644044521
46	0.6620942063
47	0.659943373
48	0.6590000568
49	0.6569875814
50	0.6552304138
51	0.6546559583
52	0.6535040429
53	0.6517513414
54	0.6507650249
55	0.6494997913
56	0.6475978554
57	0.6461092613
58	0.6445526262
59	0.6429757573
60	0.6416550385
61	0.6405369224
62	0.6399312907
63	0.6392908346
64	0.6379566217
65	0.6365384315
66	0.6351224476
67	0.6338834316
68	0.6327909429
69	0.6323190306
70	0.6310520888
71	0.6298620394
72	0.6296790179
73	0.6286215505
74	0.6274297368
75	0.6267646131
76	0.6253005653
77	0.6244979922
78	0.6231303294
79	0.6221275032
80	0.6210140268
81	0.6197692204
82	0.6188552872
83	0.6185953176
84	0.6179566276
85	0.6176053994
86	0.6168218818
87	0.6165351685
88	0.6161460693
89	0.6152262934
90	0.6146050574
91	0.613824993
92	0.612579948
93	0.6114645846
94	0.6108322126
95	0.6098630602
96	0.6093622657
97	0.6084331549
98	0.6074866916
99	0.6067252874
100	0.6059510456
101	0.6054949385
102	0.6048172316
103	0.6040761887
104	0.6036950928
105	0.6028475346
106	0.601959807
107	0.6012976793
108	0.6010203132
109	0.6005491961
110	0.6000678045
111	0.599501785
112	0.598749099
113	0.5980953589
114	0.5977433116
115	0.5970183911
116	0.5962079877
117	0.5953819699
118	0.5949469901
119	0.5937606757
120	0.5933230718
121	0.5925348337
122	0.5917058592
123	0.5911581917
124	0.5905293596
125	0.5897887191
126	0.5891399133
127	0.5885968261
128	0.588093253
129	0.5874261969
130	0.5868228
131	0.5860329358
132	0.5854677416
133	0.5848010267
134	0.5841256938
135	0.5835090567
136	0.5830428063
137	0.5827409693
138	0.5821126271
139	0.5815414273
140	0.5812451889
141	0.5808610608
142	0.580271377
143	0.5794900656
144	0.5791524221
145	0.5786258862
146	0.5778945129
147	0.5776193789
148	0.5771543252
149	0.5764397029
150	0.5762466287
151	0.5754393329
152	0.5748687563
153	0.5742700921
154	0.5734793404
155	0.5730833532
156	0.5727725131
157	0.5721447726
158	0.5716072873
159	0.5709490297
160	0.5701467903
161	0.5697218776
162	0.5693562171
163	0.5686151643
164	0.5681148931
165	0.5678749496
166	0.5675481284
167	0.5669321074
168	0.5665771251
169	0.5661202241
170	0.5659286134
171	0.5652523447
172	0.5646869684
173	0.5640799954
174	0.5635827733
175	0.5630041845
176	0.5624275302
177	0.5619282782
178	0.5612527048
179	0.5609453684
180	0.5603511943
181	0.5598045029
182	0.5593123275
183	0.5587374965
184	0.5583680737
185	0.5577289982
186	0.5572603839
187	0.5568069721
188	0.556210986
189	0.555841438
190	0.5552612895
191	0.5544946285
192	0.5539676914
193	0.5532652182
194	0.5528667632
195	0.5524576278
196	0.5521444963
197	0.5513369445
198	0.5508920339
199	0.5503050282
200	0.5498994104
201	0.5493455633
202	0.5483644482
203	0.5478401802
204	0.5474976876
205	0.5470272288
206	0.5464406185
207	0.5459749447
208	0.545628768
209	0.5449155369
210	0.544339791
211	0.5438679301
212	0.5432850553
213	0.5428367551
214	0.5419817786
215	0.5415813486
216	0.540876461
217	0.5404022812
218	0.5399228989
219	0.5392752372
220	0.5387474665
221	0.5383549116
222	0.5378461249
223	0.5371797952
224	0.5366344269
225	0.5362513035
226	0.5357208008
227	0.5351620687
228	0.5346656771
229	0.5343283487
230	0.5340370356
231	0.5335147408
232	0.5331216095
233	0.5327189303
234	0.5320944729
235	0.5316747802
236	0.5313134467
237	0.5309368842
238	0.5304372156
239	0.530152405
240	0.5298575065
241	0.5294574979
242	0.5291575673
243	0.5283121701
244	0.5278816679
245	0.5274136302
246	0.5268987667
247	0.5265454662
248	0.5260458549
249	0.525456529
250	0.5249633128
251	0.5243894422
252	0.5241987823
253	0.5237275338
254	0.523298341
255	0.5229532645
256	0.5225205392
257	0.5221164426
258	0.521691727
259	0.5212337153
260	0.5207692754
261	0.5205940179
262	0.520138178
263	0.5196718289
264	0.5192603582
265	0.5187734527
266	0.5184916515
267	0.5179354097
268	0.5175785036
269	0.5170298265
270	0.5167315271
271	0.5164136563
272	0.5160129128
273	0.5158428501
274	0.5153255129
275	0.5149115859
276	0.5144731163
277	0.514064111
278	0.5137449663
279	0.5134637936
280	0.5132374715
281	0.5128472498
282	0.5125540933
283	0.5121014349
284	0.5115466723
285	0.5110511032
286	0.5108588389
287	0.5105843172
288	0.5099607581
289	0.5092837981
290	0.5086685278
291	0.508281581
292	0.5079739778
293	0.5076950194
294	0.507273962
295	0.5070726248
296	0.506894471
297	0.5066031466
298	0.5061948401
299	0.5058046376
